Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-01-03,11.6875,11.6875,11.3125,11.3125,12000,0,0.0
2000-01-04,11.0625,11.0625,10.875,10.96875,13200,0,0.0
2000-01-05,10.96875,10.96875,10.625,10.875,30000,0,0.0
2000-01-06,10.875,11.0,10.875,11.0,19800,0,0.0
2000-01-07,11.0,11.125,11.0,11.0,49200,0,0.0
2000-01-10,11.125,11.25,11.0625,11.25,12000,0,0.0
2000-01-11,11.125,11.6875,11.125,11.5,35400,0,0.0
2000-01-12,11.5,11.625,11.5,11.625,13000,0,0.0
2000-01-13,11.5,11.5625,10.625,10.875,95400,0,0.0
2000-01-14,11.0,11.3125,11.0,11.3125,78600,0,0.0
2000-01-18,11.1875,11.625,11.125,11.5625,23200,0,0.0
2000-01-19,11.625,11.625,11.375,11.375,81200,0,0.0
2000-01-20,11.375,11.4375,11.0,11.0,78600,0,0.0
2000-01-21,10.875,11.125,10.875,11.0625,183200,0,0.0
2000-01-24,11.125,11.1875,11.0,11.125,42600,0,0.0
2000-01-25,11.125,11.5,11.125,11.5,39000,0,0.0
2000-01-26,11.5625,11.5625,11.3125,11.375,6200,0,0.0
2000-01-27,11.3125,11.6875,11.25,11.5625,18600,0,0.0
2000-01-28,11.5,11.6875,11.5,11.5,9000,0,0.0
2000-01-31,11.1875,11.625,11.1875,11.53125,37200,0,0.0
2000-02-01,11.5,11.6875,11.5,11.5,19600,0,0.0
2000-02-02,12.0,12.0,11.875,11.9375,28800,0,0.0
2000-02-03,12.0625,12.5625,12.0625,12.5,18400,0,0.0
2000-02-04,12.625,13.0,12.625,13.0,28400,0,0.0
2000-02-07,13.125,13.4375,13.0625,13.4375,19600,0,0.0
2000-02-08,13.5,13.5625,12.9375,12.9375,34000,0,0.0
2000-02-09,13.0625,13.15625,13.0625,13.0625,2400,0,0.0
2000-02-10,13.0625,13.0625,12.875,13.0,10200,0,0.0
2000-02-11,13.0625,13.1875,13.0,13.1875,34800,0,0.0
2000-02-14,13.3125,13.3125,11.9375,12.375,74800,0,0.0
2000-02-15,12.4375,12.5,12.375,12.5,6200,0,0.0
2000-02-16,12.5625,13.25,12.5625,13.25,72400,0,0.0
2000-02-17,13.25,13.5,13.1875,13.375,41600,0,0.0
2000-02-18,13.4375,13.6875,13.4375,13.6875,41600,0,0.0
2000-02-22,13.5625,14.125,13.40625,14.125,38200,0,0.0
2000-02-23,14.375,14.875,14.1875,14.1875,38400,0,0.0
2000-02-24,14.1875,14.5,14.0625,14.5,74000,0,0.0
2000-02-25,14.5,14.75,14.375,14.71875,51800,0,0.0
2000-02-28,14.75,15.75,14.75,15.5,80200,0,0.0
2000-02-29,15.46875,16.5,15.375,16.4375,41400,0,0.0
2000-03-01,16.375,16.5,15.4375,15.71875,71400,0,0.0
2000-03-02,15.625,15.625,15.34375,15.34375,42200,0,0.0
2000-03-03,15.1875,15.625,14.875,15.5,60000,0,0.0
2000-03-06,15.75,16.125,15.25,15.75,63000,0,0.0
2000-03-07,15.625,15.875,15.25,15.25,28000,0,0.0
2000-03-08,15.625,15.6875,15.28125,15.34375,22800,0,0.0
2000-03-09,15.1875,15.25,15.0,15.25,26800,0,0.0
2000-03-10,15.125,15.1875,14.75,14.75,43600,0,0.0
2000-03-13,14.75,15.0,14.75,15.0,17800,0,0.0
2000-03-14,15.03125,15.25,14.9375,14.9375,227200,0,0.0
2000-03-15,14.9375,14.96875,14.8125,14.90625,95000,0,0.0
2000-03-16,14.8125,14.96875,14.75,14.96875,5400,0,0.0
2000-03-17,14.625,14.625,14.375,14.5,226600,0,0.0
2000-03-20,14.5,14.5,14.375,14.5,12000,0,0.0
2000-03-21,14.5,14.5,14.21875,14.5,18200,0,0.0
2000-03-22,14.46875,14.46875,14.375,14.40625,1400,0,0.0
2000-03-23,14.3125,14.4375,14.125,14.125,14000,0,0.0
2000-03-24,14.1875,14.1875,14.0625,14.0625,17000,0,0.0
2000-03-27,14.1875,14.1875,14.0,14.1875,36200,0,0.0
2000-03-28,14.125,14.3125,14.125,14.125,11800,0,0.0
2000-03-29,14.0625,14.125,13.9375,14.0,33200,0,0.0
2000-03-30,14.0625,14.0625,13.875,13.9375,20000,0,0.0
2000-03-31,13.9375,14.0,13.625,13.625,63200,0,0.0
2000-04-03,13.625,13.625,13.375,13.375,11000,0,0.0
2000-04-04,13.3125,13.3125,12.84375,12.875,13600,0,0.0
2000-04-05,13.0,13.0,12.8125,12.9375,29000,0,0.0
2000-04-06,13.0,13.0,12.75,13.0,15600,0,0.0
2000-04-07,13.0625,13.0625,12.875,13.03125,21200,0,0.0
2000-04-10,13.03125,13.625,13.03125,13.4375,15200,0,0.0
2000-04-11,13.5625,13.5625,13.0625,13.0625,20600,0,0.0
2000-04-12,13.125,13.1875,13.0,13.0,2800,0,0.0
2000-04-13,13.0,13.0,12.90625,12.90625,19000,0,0.0
2000-04-14,13.0,13.125,13.0,13.125,7400,0,0.0
2000-04-17,13.0,13.0,12.8125,12.9375,7800,0,0.0
2000-04-18,12.875,12.875,12.5625,12.59375,6200,0,0.0
2000-04-19,12.5,12.8125,12.5,12.6875,13000,0,0.0
2000-04-20,12.71875,12.71875,12.4375,12.5625,15400,0,0.0
2000-04-24,12.5,12.625,12.375,12.5625,11000,0,0.0
2000-04-25,12.5,12.5625,12.375,12.5625,5200,0,0.0
2000-04-26,12.53125,12.71875,12.5,12.71875,8600,0,0.0
2000-04-27,12.625,13.0,12.625,12.9375,24200,0,0.0
2000-04-28,12.875,12.875,12.75,12.75,22000,0,0.0
2000-05-01,12.875,13.5625,12.875,13.375,30200,0,0.0
2000-05-02,13.375,13.375,13.1875,13.25,6600,0,0.0
2000-05-03,13.125,13.125,13.0,13.0,2400,0,0.0
2000-05-04,13.0,13.0625,13.0,13.0625,8600,0,0.0
2000-05-05,13.0625,13.125,12.9375,12.9375,31000,0,0.0
2000-05-08,12.875,12.96875,12.8125,12.96875,7200,0,0.0
2000-05-09,12.9375,12.9375,12.875,12.875,16600,0,0.0
2000-05-10,12.8125,12.859375,12.625,12.6875,19600,0,0.0
2000-05-11,12.8125,12.84375,12.78125,12.84375,2200,0,0.0
2000-05-12,12.8125,13.0,12.8125,13.0,19600,0,0.0
2000-05-15,13.0625,13.1875,13.0625,13.1875,34600,0,0.0
2000-05-16,13.125,13.25,13.125,13.25,49800,0,0.0
2000-05-17,13.15625,13.15625,13.0,13.0625,61000,0,0.0
2000-05-18,13.03125,13.25,13.03125,13.25,33200,0,0.0
2000-05-19,13.125,13.25,13.125,13.125,8600,0,0.0
2000-05-22,13.125,13.125,13.0625,13.0625,2800,0,0.0
2000-05-23,13.0,13.0,12.8125,12.8125,21800,0,0.0
2000-05-24,12.75,12.8125,12.4375,12.5,9200,0,0.0
2000-05-25,12.5,12.5,12.125,12.125,20200,0,0.0
2000-05-26,12.1875,12.1875,12.09375,12.1875,16200,0,0.0
2000-05-30,12.125,12.125,11.875,11.9375,11600,0,0.0
2000-05-31,11.9375,11.9375,11.59375,11.59375,37400,0,0.0
2000-06-01,11.625,11.625,11.5625,11.5625,6200,0,0.0
2000-06-02,11.625,11.75,11.625,11.75,8000,0,0.0
2000-06-05,11.8125,11.8125,11.5,11.5625,8800,0,0.0
2000-06-06,11.4375,11.6875,11.375,11.625,31800,0,0.0
2000-06-07,11.5625,11.625,11.5625,11.5625,10600,0,0.0
2000-06-08,11.6875,11.75,11.53125,11.53125,9000,0,0.0
2000-06-09,11.6875,11.8125,11.5625,11.75,38800,0,0.0
2000-06-12,11.8125,11.875,11.75,11.75,4800,0,0.0
2000-06-13,11.6875,11.75,11.5,11.75,8600,0,0.0
2000-06-14,11.6875,12.25,11.625,12.25,24400,0,0.0
2000-06-15,12.25,12.3125,12.1875,12.3125,19600,0,0.0
2000-06-16,12.3125,12.3125,11.90625,11.9375,18400,0,0.0
2000-06-19,11.9375,11.9375,11.6875,11.6875,9600,0,0.0
2000-06-20,11.625,11.625,11.5625,11.59375,3000,0,0.0
2000-06-21,11.8125,11.8125,11.5625,11.75,21400,0,0.0
2000-06-22,11.6875,11.6875,11.125,11.125,14400,0,0.0
